Member_number,Date,products,Ratings
1808,21-07-2015,tropical fruit,4
2552,5/1/2015,whole milk,2
2300,19-09-2015,pip fruit,1
1187,12/12/2015,other vegetables,4
3037,1/2/2015,whole milk,2
4941,14-02-2015,rolls/buns,3
4501,8/5/2015,other vegetables,4
3803,23-12-2015,pot plants,5
2762,20-03-2015,whole milk,2
4119,12/2/2015,tropical fruit,4
1340,24-02-2015,citrus fruit,4
2193,14-04-2015,beef,3
1997,21-07-2015,frankfurter,5
4546,3/9/2015,chicken,4
4736,21-07-2015,butter,4
1959,30-03-2015,fruit/vegetable juice,4
1974,3/5/2015,packaged fruit/vegetables,1
2421,2/9/2015,chocolate,5
1513,3/8/2015,specialty bar,5
1905,7/7/2015,other vegetables,4
2810,8/9/2015,butter milk,5
2867,12/11/2015,whole milk,2
3962,18-09-2015,tropical fruit,4
1088,30-11-2015,tropical fruit,4
4976,17-07-2015,bottled water,4
4056,12/6/2015,yogurt,1
3611,13-02-2015,sausage,2
1420,14-01-2015,other vegetables,4
4286,8/3/2015,brown bread,4
4918,27-01-2015,yogurt,1
4783,22-10-2015,hamburger meat,2
3709,26-10-2015,root vegetables,5
4289,8/10/2015,pork,1
1559,3/10/2015,beef,3
2900,11/4/2015,pastry,2
1905,21-02-2015,fruit/vegetable juice,4
3527,29-09-2015,canned beer,4
1495,9/1/2015,root vegetables,5
3558,3/4/2015,citrus fruit,4
3128,20-04-2015,sausage,2
1863,4/8/2015,tropical fruit,4
3841,19-07-2015,berries,5
3903,6/10/2015,canned beer,4
2658,16-10-2015,butter milk,5
4272,6/6/2015,coffee,3
1120,26-09-2015,pastry,2
2676,15-08-2015,rolls/buns,3
1697,21-05-2015,misc. beverages,5
2507,25-08-2015,root vegetables,5
4620,11/3/2015,sausage,2
3365,1/2/2015,canned beer,4
2978,5/6/2015,ham,1
2910,28-07-2015,turkey,2
1061,5/9/2015,whole milk,2
3276,3/4/2015,whole milk,2
1326,19-06-2015,packaged fruit/vegetables,1
3023,28-07-2015,rolls/buns,3
2185,11/10/2015,ham,1
3552,16-06-2015,rolls/buns,3
1967,20-01-2015,other vegetables,4
4708,20-03-2015,sausage,2
2874,15-02-2015,sausage,2
4177,13-04-2015,frankfurter,5
1663,7/2/2015,rolls/buns,3
2632,2/3/2015,whole milk,2
1377,14-03-2015,curd cheese,5
4162,22-12-2015,red/blush wine,5
2270,1/7/2015,sausage,2
4829,3/11/2015,tropical fruit,4
3811,14-04-2015,red/blush wine,5
4766,29-09-2015,whole milk,2
2436,12/4/2015,frankfurter,5
3860,5/5/2015,whole milk,2
4875,12/5/2015,frozen potato products,2
1587,1/7/2015,other vegetables,4
4038,8/7/2015,citrus fruit,4
4750,21-09-2015,flour,2
1199,10/12/2015,sugar,2
1603,30-09-2015,frozen meals,1
3111,31-01-2015,chocolate,5
3894,13-12-2015,root vegetables,5
1456,18-09-2015,root vegetables,5
2022,4/3/2015,herbs,5
2505,30-11-2015,bottled water,4
4851,20-12-2015,sausage,2
4293,4/8/2015,coffee,3
2775,6/11/2015,pork,1
3693,18-02-2015,berries,5
1202,22-07-2015,soda,5
3699,23-08-2015,berries,5
4152,15-04-2015,fruit/vegetable juice,4
4155,26-01-2015,citrus fruit,4
4010,29-12-2015,pork,1
4389,20-10-2015,detergent,2
3746,17-08-2015,grapes,2
2560,17-05-2015,sausage,2
1503,25-07-2015,chicken,4
2555,23-12-2015,whole milk,2
3645,12/12/2015,citrus fruit,4
3886,11/9/2015,soda,5
2932,20-03-2015,sausage,2
1711,18-06-2015,frankfurter,5
4291,8/12/2015,sausage,2
1143,25-04-2015,soda,5
4564,8/7/2015,rolls/buns,3
3337,14-05-2015,beef,3
4931,4/5/2015,whole milk,2
2623,10/10/2015,processed cheese,4
4581,3/4/2015,tropical fruit,4
2635,11/6/2015,frankfurter,5
1095,30-10-2015,packaged fruit/vegetables,1
2990,23-05-2015,whole milk,2
2426,5/6/2015,berries,5
4555,7/11/2015,citrus fruit,4
3635,4/9/2015,tropical fruit,4
3058,18-05-2015,hamburger meat,2
4391,26-03-2015,hamburger meat,2
1306,23-06-2015,whole milk,2
1024,10/8/2015,fish,5
1295,23-07-2015,frankfurter,5
1661,1/6/2015,packaged fruit/vegetables,1
4591,15-05-2015,pastry,2
3169,14-06-2015,other vegetables,4
3915,21-05-2015,misc. beverages,5
1127,14-01-2015,frankfurter,5
4828,8/8/2015,sparkling wine,2
3683,10/6/2015,specialty bar,5
1971,18-09-2015,sausage,2
3014,11/11/2015,curd cheese,5
3779,15-09-2015,frankfurter,5
2489,4/5/2015,whole milk,2
3564,27-06-2015,newspapers,1
4092,30-09-2015,berries,5
3221,13-01-2015,curd,2
1279,6/9/2015,tropical fruit,4
2581,22-08-2015,soda,5
2295,25-02-2015,rolls/buns,3
4760,22-02-2015,canned beer,4
3649,16-01-2015,canned beer,4
1075,19-11-2015,frankfurter,5
3987,19-08-2015,other vegetables,4
4106,25-08-2015,whole milk,2
4338,24-06-2015,whole milk,2
4166,6/11/2015,citrus fruit,4
1211,10/3/2015,frankfurter,5
3954,21-01-2015,frankfurter,5
3928,18-07-2015,butter milk,5
3827,30-09-2015,hamburger meat,2
4699,8/2/2015,pasta,2
4747,8/6/2015,other vegetables,4
3028,9/6/2015,sausage,2
2851,16-03-2015,rolls/buns,3
4417,25-02-2015,grapes,2
3822,7/3/2015,root vegetables,5
2288,31-05-2015,coffee,3
2184,30-06-2015,popcorn,2
4554,27-08-2015,whole milk,2
3361,5/3/2015,tropical fruit,4
2999,17-04-2015,beef,3
2614,25-06-2015,whole milk,2
4064,5/6/2015,frankfurter,5
3567,4/10/2015,tropical fruit,4
2587,7/5/2015,canned beer,4
3783,17-06-2015,finished products,3
1923,14-02-2015,beverages,2
4835,19-02-2015,hamburger meat,2
1514,24-08-2015,whole milk,2
3154,22-06-2015,finished products,3
1313,25-12-2015,other vegetables,4
2794,18-07-2015,ham,1
2359,9/4/2015,other vegetables,4
2238,9/3/2015,curd,2
3795,17-01-2015,bottled beer,3
3724,26-11-2015,curd,2
1152,5/3/2015,whole milk,2
4559,16-03-2015,whole milk,2
3922,27-02-2015,dessert,2
1709,22-04-2015,sausage,2
2219,17-04-2015,other vegetables,4
2206,17-10-2015,ham,1
1752,6/4/2015,other vegetables,4
3942,10/11/2015,other vegetables,4
3296,17-08-2015,soda,5
2257,5/2/2015,herbs,5
4313,28-07-2015,frankfurter,5
2001,21-08-2015,rolls/buns,3
2449,8/7/2015,curd,2
4914,12/4/2015,frankfurter,5
2764,24-07-2015,other vegetables,4
4187,9/5/2015,dog food,2
1392,20-04-2015,specialty bar,5
3427,28-04-2015,curd,2
1411,20-02-2015,frankfurter,5
3390,14-11-2015,soda,5
4787,1/8/2015,beef,3
3310,17-01-2015,canned beer,4
1782,10/10/2015,pork,1
3375,26-04-2015,frankfurter,5
2760,7/1/2015,sausage,2
4249,13-09-2015,canned beer,4
2904,6/6/2015,specialty chocolate,5
4090,26-02-2015,curd,2
3060,5/7/2015,canned beer,4
3768,7/10/2015,whole milk,2
1232,21-01-2015,rolls/buns,3
1360,23-10-2015,pork,1
1107,1/10/2015,citrus fruit,4
2865,4/11/2015,pot plants,5
2958,14-06-2015,rolls/buns,3
2448,12/7/2015,butter,4
1222,24-09-2015,condensed milk,2
2943,20-06-2015,sausage,2
2270,11/8/2015,whole milk,2
3812,21-07-2015,sausage,2
1482,22-11-2015,beverages,2
4720,22-02-2015,beverages,2
1344,4/9/2015,bottled water,4
2397,4/10/2015,newspapers,1
4182,12/5/2015,cleaner,1
4487,10/7/2015,sausage,2
3467,24-12-2015,newspapers,1
2443,15-11-2015,sausage,2
2749,27-01-2015,misc. beverages,5
4389,13-04-2015,white wine,4
1674,4/12/2015,sausage,2
4262,16-10-2015,meat,4
2082,7/4/2015,frankfurter,5
4494,6/1/2015,ice cream,3
2460,28-09-2015,canned beer,4
4509,29-11-2015,tropical fruit,4
2267,3/7/2015,meat,4
4891,5/9/2015,whole milk,2
3962,20-09-2015,sausage,2
4964,18-07-2015,frankfurter,5
2914,30-11-2015,meat,4
2808,5/5/2015,root vegetables,5
1085,15-08-2015,root vegetables,5
3808,18-08-2015,whole milk,2
4149,7/1/2015,citrus fruit,4
2331,5/6/2015,citrus fruit,4
4475,3/4/2015,other vegetables,4
2761,25-04-2015,citrus fruit,4
2620,14-12-2015,sausage,2
3206,13-10-2015,frankfurter,5
1226,13-04-2015,hard cheese,2
1395,7/3/2015,cream cheese ,1
2465,7/6/2015,turkey,2
3572,9/7/2015,pork,1
4387,8/5/2015,whole milk,2
1555,27-03-2015,rolls/buns,3
1181,16-11-2015,sausage,2
2814,11/5/2015,ice cream,3
2794,16-09-2015,liquor,4
2912,28-01-2015,pip fruit,1
4667,12/1/2015,root vegetables,5
2235,25-10-2015,soda,5
2353,2/5/2015,soda,5
3449,8/3/2015,sausage,2
1058,10/11/2015,root vegetables,5
1027,17-05-2015,pork,1
3302,22-05-2015,pork,1
2229,30-05-2015,chocolate,5
2188,15-08-2015,fruit/vegetable juice,4
1547,18-04-2015,pickled vegetables,1
1649,30-06-2015,bottled water,4
3254,10/9/2015,frankfurter,5
2818,7/11/2015,tropical fruit,4
2703,8/5/2015,canned beer,4
3332,31-01-2015,root vegetables,5
2473,1/7/2015,meat,4
2810,30-12-2015,frankfurter,5
1033,22-04-2015,tropical fruit,4
4222,27-05-2015,tropical fruit,4
3679,21-09-2015,citrus fruit,4
2212,27-08-2015,hamburger meat,2
1507,22-06-2015,chicken,4
2870,21-01-2015,chicken,4
3429,26-04-2015,frankfurter,5
4148,9/4/2015,canned beer,4
2970,30-12-2015,turkey,2
2013,30-08-2015,packaged fruit/vegetables,1
3967,30-05-2015,pasta,2
2885,15-05-2015,citrus fruit,4
3935,2/7/2015,sausage,2
3283,1/5/2015,whole milk,2
3268,6/11/2015,canned beer,4
3677,30-04-2015,citrus fruit,4
3495,27-06-2015,liquor (appetizer),2
1410,4/10/2015,citrus fruit,4
2440,6/6/2015,sausage,2
4088,13-01-2015,chicken,4
2469,23-09-2015,hamburger meat,2
4229,6/3/2015,sausage,2
2728,2/8/2015,beef,3
4694,25-01-2015,citrus fruit,4
2836,29-12-2015,UHT-milk,2
1311,12/2/2015,candy,5
1760,23-01-2015,newspapers,1
3656,2/3/2015,beef,3
3720,28-05-2015,sausage,2
2996,26-09-2015,frankfurter,5
1949,22-07-2015,canned beer,4
4498,11/2/2015,bottled beer,3
2447,28-12-2015,onions,1
1952,23-03-2015,tropical fruit,4
4099,27-01-2015,bottled water,4
1804,12/3/2015,beef,3
1510,16-05-2015,sausage,2
2879,18-04-2015,hair spray,3
4899,12/3/2015,chicken,4
4326,29-09-2015,pork,1
1670,17-05-2015,ice cream,3
1117,24-05-2015,meat,4
1346,3/4/2015,other vegetables,4
1178,15-11-2015,bottled water,4
1649,25-06-2015,tropical fruit,4
